Country,Cases,Deaths,UpdateTime
Cambodia,6,0,6/29/20099:00
Canada,7775,21,6/29/20099:00
CapVerde,3,0,6/29/20099:00
CaymanIslands,UKOT,9,0,6/29/20099:00
Chile,5186,7,6/29/20099:00
China,1442,0,6/29/20099:00
Colombia,88,2,6/29/20099:00
CostaRica,255,1,6/29/20099:00
Coted'Ivoire,2,0,6/29/20099:00
Cuba,34,0,6/29/20099:00
Cyprus,25,0,6/29/20099:00
CzechRepublic,9,0,6/29/20099:00
Denmark,44,0,6/29/20099:00
Dominica,1,0,6/29/20099:00
DominicanRepublic,108,2,6/29/20099:00
Ecuador,125,0,6/29/20099:00
Egypt,50,0,6/29/20099:00
ElSalvador,226,0,6/29/20099:00
Estonia,13,0,6/29/20099:00
Ethiopia,2,0,6/29/20099:00
Fiji,2,0,6/29/20099:00
Finland,26,0,6/29/20099:00
France,235,0,6/29/20099:00
    FrenchPolynesia,FOC,3,0,6/29/20099:00
    Martinique,FOC,2,0,6/29/20099:00
Germany,366,0,6/29/20099:00
Greece,86,0,6/29/20099:00
Guatemala ,254,2,6/29/20099:00
Honduras,118,1,6/29/20099:00
Hungary,8,0,6/29/20099:00
Iceland,4,0,6/29/20099:00
India,64,0,6/29/20099:00
Indonesia,8,0,6/29/20099:00
Iran,1,0,6/29/20099:00
Iraq,10,0,6/29/20099:00
Ireland,39,0,6/29/20099:00
Israel,469,0,6/29/20099:00
Italy,112,0,6/29/20099:00
Jamaica,21,0,6/29/20099:00
Japan,1212,0,6/29/20099:00
Jordan,18,0,6/29/20099:00
Korea,Republicof,202,0,6/29/20099:00
Kuwait,30,0,6/29/20099:00
Laos,3,0,6/29/20099:00
Latvia,1,0,6/29/20099:00
Lebanon,25,0,6/29/20099:00
Lithuania,1,0,6/29/20099:00
Luxembourg,4,0,6/29/20099:00
Malaysia,112,0,6/29/20099:00
Mexico,8279,116,6/29/20099:00
Monaco,1,0,6/29/20099:00
Montenegro,1,0,6/29/20099:00
Morocco,11,0,6/29/20099:00
Nepal,3,0,6/29/20099:00
Netherlands,118,0,6/29/20099:00
     NetherlandsAntilles,Curaçao*,3,0,6/29/20099:00
     NetherlandsAntilles,SintMaarten,1,0,6/29/20099:00
NewZealand,587,0,6/29/20099:00
Nicaragua,277,0,6/29/20099:00
Norway,31,0,6/29/20099:00
Oman,3,0,6/29/20099:00
Panama,403,0,6/29/20099:00
PapuaNewGuinea,1,0,6/29/20099:00
Paraguay,85,0,6/29/20099:00
Peru,360,0,6/29/20099:00
Philippines,861,1,6/29/20099:00
Poland,14,0,6/29/20099:00
Portugal,11,0,6/29/20099:00
Qatar,10,0,6/29/20099:00
Romania,24,0,6/29/20099:00
Russia,3,0,6/29/20099:00
Samoa,1,0,6/29/20099:00
SaudiArabia,69,0,6/29/20099:00
Serbia,5,0,6/29/20099:00
Singapore,599,0,6/29/20099:00
Slovakia,9,0,6/29/20099:00
Slovenia,4,0,6/29/20099:00
SouthAfrica,1,0,6/29/20099:00
Spain,541,0,6/29/20099:00
SriLanka,9,0,6/29/20099:00
Suriname,11,0,6/29/20099:00
Sweden,67,0,6/29/20099:00
Switzerland,49,0,6/29/20099:00
Thailand,774,0,6/29/20099:00
TrinidadandTobago,53,0,6/29/20099:00
Tunisia,2,0,6/29/20099:00
Turkey,27,0,6/29/20099:00
Ukraine,1,0,6/29/20099:00
